Academia		Acade		Acad		Academy
Academy		Acad			-			-
Acueducto		Acued		Acue		Aqueduct
Aeropuerto		Arpto		Arpt		Airport
Air Force Base		AFB			-			-
Airfield		Afld			-			-
Airpark		Airpark		Aprk			-
Airport		Arpt			-			-
Airstrip		Airstrp		Astr			-
Aljibe		Aljibe		Alj		Cistern
Alley		Alley		Aly			-
Alternate Route		Alt			-			-
Apartment		Apt			-			-
Aqueduct		Aque			-			-
Arcade		Arcade		Arc			-
Arroyo		Arroyo		Arry		Creek
Autopista		Atpta		Atpt		Expressway
Avenida		Avenida		Ave		Avenue
Avenue		Avenue		Ave			-
Bahia		Bahia		B		Bay
Bank		Bank		Bnk			-
Basin		Basin		Basn			-
Bay		Bay		B			-
Bayou		Bayou		Byu			-
BIA Highway		BIA Hwy		BIAH			
BIA Road		BIA Rd		BIAR			-
BIA Route		BIA Rte		BIAR			-
Bluff		Bluff		Blf			-
Boulevard		Blvd			-				-
Boundary		Bdy			-		-
Branch		Branch		Br			-
Bridge		Bridge		Brg			-
Brook		Brook		Brk			-
Building		Bldg			-			-
Bulevar		Blvr		Blv 		Boulevard
Bureau of Land Mgmt Rd		BLM Rd		BLMR			-
Business Route		Bus Rte		Bus			-
Bypass		Bypass		Byp			-
Calle		Calle		C		Street
Calleja		Calleja		Cja		Lane
Callejon		Callej		Cjon		Narrow street
Camino		Camino		Cam		Road
Camp		Camp			-			-
Campamento		Campam		Camp		Campground
Campground		Campgrnd		Cmpg			-
Canal		Canal		Can			-
Cano		Cano		Cno 		Drain
Cantera		Cantera		Cant		Quarry
Canyon		Canyon		Cyn			-
Capilla		Capilla		Cplla		Chapel
Carretera		Carrt		Carr		Road
Caserio		Cas			-		Public housing 
project
Causeway		Cswy			-			-
Cementerio		Cemt		Cem		Cemetery
Cemetery		Cem			-			-
Center		Center		Ctr			-
Centro		Centro		Ctro		Center
Channel		Chan			-			-
Chapel		Chapel		Ch			-
Church		Church		Ch			-
Circle		Circle		Cir			-
Circulo		Circ		Cir		Circle
Cliff		Cliff		Clf			-
Club		Club		Clb			-
Colegio		Colegio		Col		College
College		College		Clg			-
Condominio		Cond			-	Condominium
Condominium		Condo			-		-
Convent		Cnvt 			-		-
Coulee		Coulee		Coul			-
Country Club		Country Club		CC			-
County Highway		County Hwy		CoHw			-
County Home		County Home		CoHm			-
County Lane		Co Ln		CoLn			-
County Loop		Co Loop		CoLp			-
County Road		County Rd		CoRd			-
County Route		County Rte		CoRt			-
County Spur		Co Spur		CoSp			-
Court		Court		Ct			-
Courthouse		Cthse		Cths			-
Cove		Cove		Cv			-
Crater		Crater		Crtr			-
Creek		Creek		Cr			-
Crescent		Cres		Cres			-
Crossing		Xing			-		-
Cruce		Cruce		Cru 		Crossroad
Dam		Dam		Dm			-
Depot		Depot		Dpo			-
Detention Center		Det Ctr		DtCt			-
District of Columbia Hwy 		DC Hwy		DCHw			-
Ditch		Ditch		Dit 			-
Divide		Divide		Div			-
Dock		Dock		Dock		Dock
Dormitory		Dorm 			-		-
Drain		Drain		Drn			-
Draw		Draw			-		-
Drive		Drive		Dr			-
Edificio		Edif			-	Building
Emergency Road		Em Rd		EmRd			-
Ensenada		Ensen		Ens		Cove
Escarpment		Escarp		Escr			-
Escuela		Escul		Esc		School
Estuary		Est			-		-
Expreso		Expo		Exp		Expressway
Expressway		Exwy		Expy			-
Extended		Extd			-		-
Extension		Extn			-		-
Fairgrounds		Fairgrnds		Fgrn			-
Falls		Falls		Fall			-
Farm Road		Farm Rd		FmRd			-
Farm-to-Market Road		F-M Rd		FMRd			-
Faro		Faro			-	Lighthouse
Federal Penitentiary		Fed Pen		FdPn			-
Fence Line		Fence		Fen			-
Ferry Crossing		Ferry		Fy			-
Field		Field		Fld			-
